Gamma, tau, nb_path_to_select, limit_number_paths, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
21,80,7,1300,0.008462,0.014121,0.007921,0.012117
21,80,7,1400,0.007352,0.014611,0.00756,0.011276
21,80,9,100,0.010251,0.005494,0.007754,0.006066
21,80,9,200,0.010256,0.006014,0.007923,0.009259
21,80,9,300,0.009241,0.007928,0.008379,0.007339
21,80,9,400,0.008068,0.009182,0.013143,0.012318
21,80,9,500,0.009855,0.010416,0.010784,0.008413
21,80,9,600,0.010893,0.01132,0.007805,0.011373
21,80,9,700,0.010527,0.008904,0.014408,0.011035
21,80,9,800,0.011688,0.012447,0.007846,0.011901
21,80,9,900,0.008059,0.013264,0.008789,0.012188
21,80,9,1000,0.010713,0.015118,0.00757,0.011598
21,80,9,1100,0.008376,0.014011,0.007478,0.010585
21,80,9,1200,0.007604,0.012587,0.01242,0.011807
21,80,9,1300,0.01077,0.01292,0.006996,0.013493
