Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,0.011484,0.000241,0.003316,0.000184,0.00276,0.001876,0.001998,0.00068,0.002488,0.000223,0.00376,0.000141,0.002668,0.003536,0.00203,0.002136
1,100,0.013798,0.000263,0.00242,0.000151,0.003992,0.001941,0.003303,0.000701,0.002346,0.00014,0.00221,0.000117,0.002946,0.004158,0.003251,0.001653
1,100,0.004398,0.0002,0.005141,0.000232,0.003204,0.001812,0.002286,0.000753,0.002187,0.000118,0.003642,0.00014,0.00448,0.003534,0.002458,0.00225
1,100,0.011615,0.000296,0.002261,0.00013,0.002278,0.002963,0.003921,0.001366,0.002244,0.000176,0.002204,0.000144,0.002487,0.005454,0.002948,0.003158
1,100,0.005862,0.000166,0.00516,0.000234,0.002842,0.001582,0.002187,0.000797,0.002313,0.000208,0.004263,0.000179,0.002898,0.00396,0.002445,0.002312
1,100,0.012533,0.000305,0.002749,0.000212,0.00355,0.002911,0.002847,0.000756,0.002258,0.000107,0.002235,9.5e-05,0.003256,0.005817,0.002413,0.002372
1,100,0.00535,0.000232,0.004649,0.000215,0.002696,0.001542,0.002335,0.00075,0.002852,0.00015,0.004645,0.000251,0.00258,0.002864,0.002354,0.002269
1,100,0.01294,0.000239,0.005227,0.000264,0.004701,0.001986,0.003695,0.000751,0.005054,0.000289,0.005281,0.000341,0.004118,0.002826,0.006035,0.002286
1,100,0.005254,0.00014,0.003964,0.000223,0.004102,0.002092,0.002429,0.000821,0.002561,0.000143,0.004446,0.000156,0.002906,0.00432,0.002359,0.002371
1,100,0.013977,0.000288,0.005216,0.000269,0.004889,0.003465,0.004062,0.001802,0.005154,0.000204,0.005023,0.000257,0.004188,0.008193,0.003685,0.003627
1,100,0.025404,0.000369,0.003047,0.000147,0.007722,0.004961,0.006008,0.001695,0.008886,0.000401,0.004749,0.000176,0.006601,0.009259,0.007386,0.006152
1,100,0.013723,0.000278,0.002427,0.000128,0.002553,0.001695,0.003916,0.001857,0.002922,0.000106,0.002275,0.000116,0.002365,0.00445,0.004302,0.002892
11,0,0.022004,0.004975,0.027602,0.002853,0.005135,0.004421,0.008358,0.004713,0.007911,0.003496,0.009842,0.002565,0.006689,0.009875,0.006118,0.007438
11,0,0.036045,0.004365,0.02328,0.001574,0.004951,0.004372,0.006338,0.004874,0.007481,0.002838,0.008134,0.003691,0.007611,0.007126,0.006302,0.006559
11,0,0.287958,0.012908,0.014014,0.002084,0.005467,0.004347,0.006316,0.003063,0.004766,0.001816,0.005468,0.001887,0.005827,0.006925,0.005186,0.006655
11,0,0.55117,0.018925,0.015304,0.002549,0.012206,0.009702,0.006777,0.004135,0.008938,0.002973,0.004405,0.001468,0.010634,0.013297,0.005138,0.007511
11,0,0.232145,0.010433,0.011225,0.001631,0.006219,0.003768,0.004592,0.002967,0.005224,0.001474,0.006115,0.00263,0.003883,0.005152,0.005589,0.003181
11,0,0.012255,0.003165,0.023819,0.0017,0.003638,0.003004,0.005189,0.002972,0.003571,0.001658,0.006062,0.001947,0.004513,0.007187,0.003766,0.003868
11,0,0.006179,0.002183,0.034375,0.001812,0.004465,0.005404,0.003296,0.003239,0.004261,0.001499,0.005946,0.002247,0.00315,0.004812,0.004746,0.005321
11,0,0.04747,0.00669,0.02474,0.002405,0.0087,0.009566,0.009678,0.00432,0.006519,0.003706,0.00812,0.002512,0.00857,0.010413,0.006903,0.007562
11,0,0.012669,0.003535,0.028211,0.001585,0.003074,0.003112,0.004531,0.003097,0.003441,0.001517,0.005254,0.002171,0.003956,0.007361,0.003407,0.003767
11,0,0.012382,0.003041,0.027014,0.002648,0.00341,0.002914,0.003368,0.002368,0.00509,0.002057,0.004301,0.001565,0.00466,0.006998,0.005931,0.004648
11,0,0.005089,0.00144,0.027115,0.002237,0.004177,0.004811,0.004379,0.004223,0.003409,0.001428,0.006666,0.002295,0.003591,0.004447,0.004782,0.005592
