Gamma, tau, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCHOGL, time_subproblem_KCHOGL
11,80,0.007543,0.004105,0.007712,0.007598
11,80,0.007769,0.005002,0.008263,0.01037
11,80,0.007771,0.002985,0.007981,0.006127
11,80,0.007813,0.003994,0.007918,0.010324
11,80,0.007807,0.004648,0.007894,0.014451
11,80,0.007693,0.003448,0.008052,0.00739
11,80,0.008027,0.003973,0.008763,0.013091
11,80,0.008002,0.004903,0.007838,0.018893
11,90,0.008158,0.003241,0.007967,0.003336
11,90,0.007771,0.004338,0.007304,0.004783
11,90,0.007774,0.004603,0.007677,0.005877
11,90,0.008213,0.003456,0.008189,0.003775
11,90,0.007742,0.004321,0.008241,0.005923
11,90,0.007506,0.005552,0.007677,0.007611
11,90,0.008042,0.002982,0.008022,0.00485
11,90,0.007782,0.003985,0.008334,0.007903
11,90,0.00831,0.00556,0.007521,0.010676
11,90,0.008347,0.003449,0.008433,0.006092
11,90,0.007882,0.004191,0.008325,0.010345
